"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2374,146.3,53,4043,"Inside","1Story",6,5,1975,1975,"TA","TA","CBlock","Gd","TA","ALQ",727,186,1069,"GasA","Gd","Y",1069,0,1069,0,1,2,0,2,"TA",4,1,"Attchd",2,440,"TA","TA",0,55,0,225
1437,207.5,68,8998,"Inside","2Story",7,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",527,255,782,"GasA","Ex","Y",782,870,1652,0,0,2,1,3,"Gd",6,0,"Attchd",2,532,"TA","TA",0,70,0,0
2157,131.5,36,4435,"Inside","1Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",659,189,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",3,0,"Attchd",2,420,"TA","TA",140,0,0,0
166,160,87,10000,"Corner","1Story",6,6,1962,1962,"TA","TA","CBlock","TA","TA","Unf",0,1116,1116,"GasA","TA","Y",1116,0,1116,0,0,1,1,3,"TA",5,0,"Attchd",2,440,"TA","TA",0,0,0,385
1545,126,50,7000,"Inside","1Story",6,8,1926,1998,"TA","Gd","BrkTil","TA","TA","Rec",299,555,894,"GasA","TA","Y",919,0,919,1,0,1,0,2,"TA",5,0,"Detchd",1,195,"TA","TA",0,0,116,0
1221,52,56,4130,"Inside","1Story",3,6,1935,2003,"Gd","TA","CBlock","TA","TA","Unf",0,270,270,"GasA","Gd","Y",729,0,729,0,0,1,0,2,"TA",5,0,"None",0,0,"None","None",0,0,0,0
500,265,79,10208,"Inside","2Story",7,5,1996,1997,"Gd","TA","PConc","Gd","TA","Unf",0,1264,1264,"GasA","Ex","Y",1277,1067,2344,0,0,2,1,3,"Gd",7,1,"Attchd",3,889,"TA","TA",220,0,0,0
1403,256,0,53227,"CulDSac","1Story",4,6,1954,1994,"TA","TA","CBlock","Gd","TA","BLQ",1116,248,1364,"GasA","Ex","Y",1663,0,1663,1,0,1,0,2,"Gd",6,2,"Attchd",2,529,"TA","TA",224,137,0,0
1647,176,78,12090,"Inside","2Story",7,7,1981,2003,"Gd","TA","CBlock","Gd","TA","ALQ",321,404,725,"GasA","Ex","Y",725,754,1479,0,0,2,1,3,"Gd",6,1,"Attchd",2,484,"TA","TA",167,72,0,0
436,296,129,16870,"FR3","1Story",8,5,2004,2005,"Gd","TA","PConc","Ex","TA","GLQ",1531,251,1782,"GasA","Ex","Y",1782,0,1782,1,0,2,0,3,"Gd",7,2,"Attchd",3,932,"TA","TA",99,82,0,0
1961,102,60,7200,"Inside","1Story",5,3,1950,1950,"TA","TA","CBlock","TA","TA","LwQ",432,432,864,"GasA","Fa","Y",1238,0,1238,0,0,1,1,3,"TA",6,1,"Attchd",1,357,"TA","TA",0,171,0,0
1056,372.402,107,13891,"Inside","1Story",8,5,2007,2008,"Gd","TA","PConc","Ex","TA","GLQ",1400,310,1710,"GasA","Ex","Y",1710,0,1710,1,0,2,0,2,"Gd",6,1,"Attchd",3,866,"TA","TA",0,102,0,0
1981,130,60,7200,"Inside","1Story",5,8,1940,1950,"TA","TA","CBlock","TA","TA","Unf",0,808,808,"GasA","Ex","Y",1072,0,1072,0,0,1,0,2,"TA",5,2,"Detchd",2,379,"TA","TA",0,0,0,0
880,293.2,85,10200,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",1478,100,1578,"GasA","Ex","Y",1602,0,1602,1,0,2,0,3,"Gd",7,1,"Attchd",3,810,"TA","TA",0,48,0,195
2189,108.5,62,10042,"Corner","1.5Fin",6,8,1920,1995,"TA","TA","BrkTil","TA","TA","LwQ",144,238,660,"GasA","TA","Y",740,125,865,1,0,1,0,2,"TA",4,1,"Detchd",1,216,"TA","TA",0,0,84,0
2589,125,80,13600,"Inside","1Story",5,6,1955,1955,"TA","TA","CBlock","TA","TA","Rec",144,0,1056,"GasA","Gd","Y",1056,0,1056,1,0,1,1,3,"TA",6,0,"Attchd",1,300,"TA","TA",0,0,0,0
2016,131.75,52,6240,"Inside","1.5Fin",5,7,1930,1992,"TA","TA","BrkTil","TA","TA","Unf",0,966,966,"GasA","Ex","Y",1014,412,1426,0,0,1,0,3,"TA",6,1,"Detchd",1,230,"Fa","TA",174,0,96,0
1034,133,60,9000,"FR2","2Story",5,5,1974,1974,"TA","TA","CBlock","Gd","TA","Unf",0,896,896,"GasA","TA","Y",896,896,1792,0,0,2,2,4,"TA",8,0,"Detchd",2,480,"TA","TA",0,45,0,0
1645,174,0,10960,"Inside","1Story",6,5,1984,1984,"TA","TA","CBlock","Gd","TA","GLQ",256,1028,1284,"GasA","TA","Y",1284,0,1284,1,0,2,0,3,"TA",5,0,"Attchd",2,480,"TA","TA",0,0,192,0
1129,256,85,10625,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1660,1660,"GasA","Ex","Y",1660,0,1660,0,0,2,0,3,"Gd",7,1,"Attchd",3,660,"TA","TA",133,120,0,0
623,124,65,8944,"Inside","1Story",5,5,1967,1967,"TA","TA","CBlock","TA","TA","Unf",0,1584,1584,"GasA","TA","Y",1584,0,1584,0,0,2,0,4,"TA",8,0,"Detchd",3,792,"TA","TA",0,152,0,0
235,124,124,18600,"Inside","1.5Fin",3,4,1938,1990,"TA","TA","CBlock","TA","TA","BLQ",288,0,972,"GasA","TA","Y",1052,558,1610,0,1,2,0,4,"Fa",8,1,"Attchd",1,480,"TA","TA",0,0,60,0
1786,248.328,83,9849,"Inside","1Story",7,6,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1689,1689,"GasA","Ex","Y",1689,0,1689,0,0,2,0,3,"Gd",7,0,"Attchd",3,954,"TA","TA",0,56,0,0
1602,113,100,21750,"Inside","1Story",5,5,1954,1954,"TA","TA","CBlock","TA","TA","Unf",0,988,988,"GasA","Ex","Y",988,0,988,0,0,1,0,2,"TA",4,0,"Attchd",2,520,"TA","TA",0,0,0,0
2349,188.9,81,10530,"Inside","2Story",7,5,1978,1978,"TA","TA","CBlock","TA","TA","Unf",0,945,945,"GasA","TA","Y",945,912,1857,0,0,2,1,4,"TA",8,1,"Attchd",2,482,"TA","TA",400,105,0,0
56,216.5,0,7851,"Inside","2Story",6,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",625,235,860,"GasA","Ex","Y",860,1100,1960,1,0,2,1,4,"Gd",8,2,"BuiltIn",2,440,"TA","TA",288,48,0,0
916,177,57,7558,"Inside","1.5Fin",6,6,1928,1950,"TA","TA","BrkTil","TA","TA","Unf",0,896,896,"GasA","Gd","Y",1172,741,1913,0,0,1,1,3,"TA",9,1,"Detchd",2,342,"Fa","Fa",0,0,0,0
971,115,100,21750,"Inside","1Story",5,4,1960,2006,"TA","Fa","Slab","None","None","None",0,0,0,"GasA","TA","Y",1771,0,1771,0,0,1,0,3,"TA",9,1,"Attchd",2,336,"TA","TA",0,0,0,0
1877,156,79,10289,"Inside","1Story",5,7,1965,1965,"TA","TA","CBlock","TA","TA","ALQ",836,237,1073,"GasA","TA","Y",1073,0,1073,1,0,1,1,3,"TA",6,0,"Attchd",2,515,"TA","TA",0,0,0,0
1076,234.25,48,6240,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Gd","TA","GLQ",846,496,1342,"GasA","Ex","Y",1342,0,1342,1,0,2,0,2,"Gd",6,1,"Attchd",2,550,"TA","TA",0,35,0,0
1763,248,0,11000,"FR2","2Story",8,5,2000,2000,"Gd","TA","PConc","Gd","TA","Unf",0,969,969,"GasA","Ex","Y",997,1288,2285,0,0,2,1,4,"Gd",8,1,"BuiltIn",3,648,"TA","TA",0,56,0,0
2126,147.9,70,16561,"Inside","1Story",5,5,1996,1996,"TA","TA","PConc","Gd","TA","ALQ",549,548,1097,"GasA","Ex","Y",1097,0,1097,1,0,1,1,3,"TA",6,0,"Attchd",1,242,"TA","TA",306,0,0,0
2696,91,60,9786,"Inside","1Story",3,4,1922,1950,"TA","TA","BrkTil","TA","Fa","Unf",0,1007,1007,"GasA","Fa","N",1077,0,1077,0,0,1,0,3,"TA",6,1,"Detchd",1,210,"TA","Fa",0,100,48,0
592,213.25,78,10140,"Inside","1Story",7,5,1998,1999,"Gd","TA","PConc","Ex","TA","LwQ",144,379,1650,"GasA","Ex","Y",1680,0,1680,1,0,2,0,3,"Gd",7,1,"Attchd",2,583,"TA","TA",78,73,0,0
1719,207,41,6289,"Inside","1Story",6,5,2005,2006,"Gd","TA","PConc","Gd","TA","ALQ",762,600,1362,"GasA","Ex","Y",1362,0,1362,1,0,2,0,2,"Gd",6,1,"Attchd",2,460,"TA","TA",192,28,0,0
629,110,120,13560,"Corner","1Story",6,3,1968,1968,"TA","TA","CBlock","Fa","Fa","Unf",0,1392,1392,"GasA","Gd","Y",1392,0,1392,1,0,1,0,2,"TA",5,2,"Attchd",2,576,"TA","TA",0,0,240,0
822,332,65,10816,"Inside","1Story",9,5,2008,2008,"Ex","TA","PConc","Ex","TA","GLQ",1104,616,1720,"GasA","Ex","Y",1720,0,1720,1,0,2,0,3,"Ex",8,1,"Attchd",3,846,"TA","TA",208,104,0,0
664,105,90,5400,"Corner","1.5Fin",4,6,1920,1950,"Fa","TA","PConc","TA","TA","ALQ",315,420,840,"GasA","Ex","Y",840,534,1374,0,0,1,0,2,"TA",6,0,"Detchd",1,338,"TA","TA",0,0,198,0
2825,229,90,11060,"Corner","2Story",7,5,2003,2005,"Gd","TA","PConc","Ex","TA","Unf",0,1150,1150,"GasA","Ex","Y",1164,1150,2314,0,0,2,1,3,"Gd",9,1,"BuiltIn",2,502,"TA","TA",0,274,0,0
774,149.9,0,8014,"CulDSac","SFoyer",6,5,1978,1978,"TA","TA","CBlock","Gd","TA","GLQ",456,0,456,"GasA","TA","Y",1034,0,1034,0,1,1,0,3,"TA",5,1,"Basment",2,504,"TA","TA",0,0,0,0
2297,138,50,6723,"Inside","SFoyer",5,7,1971,1971,"TA","TA","CBlock","Gd","TA","GLQ",796,0,796,"GasA","TA","Y",796,0,796,0,1,1,0,2,"TA",5,0,"None",0,0,"None","None",129,0,0,0
1363,120,0,10320,"Inside","1.5Fin",5,6,1915,1978,"TA","Fa","BrkTil","TA","Fa","Unf",0,880,880,"GasA","Gd","Y",880,428,1308,0,0,2,0,2,"TA",6,0,"Detchd",2,400,"Fa","Fa",0,0,117,0
807,131,120,26400,"FR2","2Story",5,7,1880,2007,"Gd","TA","PConc","None","None","None",0,0,0,"GasA","Ex","Y",1288,728,2016,0,0,1,0,4,"TA",7,1,"Attchd",2,576,"TA","TA",0,0,0,0
2226,123.9,24,1782,"Inside","2Story",6,6,1980,1980,"TA","Gd","CBlock","Gd","TA","GLQ",330,186,516,"GasA","Gd","Y",529,516,1045,0,0,1,0,2,"TA",5,1,"Detchd",2,462,"TA","TA",180,0,0,0
811,118.858,64,7018,"Inside","1Story",5,5,1979,1979,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",1535,0,1535,0,0,2,0,4,"TA",8,0,"Attchd",2,400,"TA","TA",0,0,0,0
280,107,94,7819,"Inside","SLvl",6,5,1976,1976,"TA","TA","CBlock","TA","TA","ALQ",422,480,1029,"GasA","TA","Y",1117,0,1117,1,0,1,0,3,"TA",6,1,"Detchd",2,672,"TA","TA",144,0,0,0
84,112,68,8930,"Inside","1.5Fin",6,5,1978,1978,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",1318,584,1902,0,0,2,0,4,"TA",8,0,"Attchd",2,539,"TA","TA",0,0,0,0
173,115,56,8960,"Inside","1Story",5,6,1927,1950,"TA","TA","CBlock","TA","TA","Unf",0,1008,1008,"GasA","Gd","Y",1028,0,1028,0,0,1,0,2,"TA",5,1,"Detchd",2,360,"TA","TA",0,0,130,0
2411,169.99,65,10237,"Inside","1Story",6,5,2005,2006,"Gd","TA","PConc","Gd","TA","GLQ",28,1288,1316,"GasA","Ex","Y",1316,0,1316,0,0,2,0,3,"Gd",6,1,"Attchd",2,397,"TA","TA",100,0,0,0
1584,232.5,82,11202,"Inside","1Story",8,5,2003,2003,"Gd","TA","PConc","Ex","TA","GLQ",1029,403,1432,"GasA","Ex","Y",1440,0,1440,1,0,2,0,3,"Gd",7,1,"Attchd",2,467,"TA","TA",185,95,0,0
305,68.4,60,7500,"Inside","1.5Fin",4,4,1920,1950,"TA","Gd","CBlock","TA","TA","Unf",0,698,698,"GasA","TA","Y",698,430,1128,0,0,1,0,2,"TA",6,0,"Detchd",2,528,"TA","TA",30,0,164,0
875,191,70,8750,"Inside","2Story",7,5,1996,1996,"Gd","TA","PConc","Gd","TA","Unf",0,880,880,"GasA","Ex","Y",909,807,1716,0,0,2,1,2,"Gd",7,1,"Attchd",2,512,"TA","TA",0,120,0,0
1222,118,50,7420,"Corner","1.5Unf",5,6,1939,1950,"TA","TA","BrkTil","TA","TA","GLQ",851,140,991,"GasA","Ex","Y",1077,0,1077,1,0,1,0,2,"TA",5,2,"Attchd",1,205,"Gd","TA",0,4,0,0
1882,151.5,0,12772,"CulDSac","1Story",6,8,1960,1998,"TA","Gd","CBlock","TA","TA","BLQ",498,460,958,"GasA","TA","Y",958,0,958,0,0,1,0,2,"TA",5,0,"Attchd",1,301,"TA","TA",0,0,0,0
1616,225,0,12394,"Corner","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,847,847,"GasA","Ex","Y",847,886,1733,0,0,2,1,3,"Gd",7,1,"BuiltIn",2,433,"TA","TA",100,48,0,0
402,130,60,9000,"FR2","1Story",4,7,1971,2006,"TA","Gd","CBlock","TA","TA","ALQ",240,624,864,"GasA","Gd","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Detchd",2,576,"TA","TA",200,0,0,0
2833,130,32,3363,"Inside","2Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","Unf",0,976,976,"GasA","Ex","Y",976,732,1708,0,0,2,0,3,"Gd",7,0,"Detchd",2,380,"TA","TA",0,40,0,0
2488,119.5,68,8927,"Inside","1.5Fin",6,6,1977,1977,"TA","Gd","CBlock","None","None","None",0,0,0,"GasA","TA","Y",1286,368,1654,0,0,2,0,4,"TA",10,0,"Attchd",2,528,"TA","TA",0,0,0,0
145,142,0,12160,"Inside","1Story",5,5,1959,1959,"TA","TA","CBlock","TA","TA","Rec",1000,188,1188,"GasA","Fa","Y",1188,0,1188,1,0,1,0,3,"TA",6,0,"Attchd",2,531,"TA","TA",0,0,0,0
2697,84.5,60,6780,"Inside","1.5Fin",6,8,1935,1982,"TA","Fa","CBlock","TA","TA","GLQ",490,30,520,"GasA","Gd","N",520,0,754,1,0,1,0,2,"TA",5,0,"None",0,0,"None","None",53,0,0,0
361,178,0,9636,"Corner","2Story",6,5,1992,1993,"TA","TA","PConc","Gd","TA","Unf",0,808,808,"GasA","Gd","Y",808,785,1593,0,0,2,1,3,"TA",7,1,"BuiltIn",2,389,"TA","TA",342,40,0,0
64,290,92,11764,"CulDSac","2Story",8,7,1999,2007,"Gd","TA","PConc","Gd","TA","GLQ",524,628,1152,"GasA","Ex","Y",1164,1106,2270,0,0,2,1,4,"Gd",9,1,"Attchd",3,671,"TA","TA",132,57,0,0
502,260,90,9900,"Inside","2Story",7,5,1993,1993,"Gd","TA","PConc","Gd","TA","GLQ",987,360,1347,"GasA","Ex","Y",1372,1274,2646,1,0,2,1,4,"Gd",9,1,"Attchd",3,656,"TA","TA",340,60,144,0
428,398.8,95,12350,"Inside","2Story",9,5,2009,2009,"Gd","TA","PConc","Ex","TA","GLQ",986,379,1365,"GasA","Ex","Y",1365,1325,2690,1,0,2,1,3,"Ex",8,1,"Attchd",3,864,"TA","TA",0,197,0,0
2314,187.5,0,13031,"Corner","2Story",6,5,1995,1996,"TA","TA","PConc","Gd","TA","ALQ",592,99,691,"GasA","Gd","Y",691,807,1498,0,0,2,1,3,"TA",6,1,"Attchd",2,409,"TA","TA",315,44,0,0
1321,325,75,13500,"Inside","2.5Unf",10,9,1893,2000,"Ex","Ex","BrkTil","TA","TA","Unf",0,1237,1237,"GasA","Gd","Y",1521,1254,2775,0,0,3,1,3,"Gd",9,1,"Detchd",2,880,"Gd","TA",105,502,0,0
2673,202.5,69,11737,"Inside","2Story",6,7,1924,1996,"TA","TA","BrkTil","TA","TA","Unf",0,848,848,"GasW","TA","N",1017,810,1827,0,0,1,0,2,"TA",9,1,"Detchd",1,240,"Fa","TA",27,36,42,0
2413,169.985,65,10237,"Inside","2Story",7,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,738,738,"GasA","Ex","Y",738,754,1492,0,0,2,1,3,"Gd",8,0,"Attchd",2,440,"TA","TA",0,32,0,0
2830,130,24,2522,"Inside","2Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","Unf",0,970,970,"GasA","Ex","Y",970,739,1709,0,0,2,0,3,"Gd",7,0,"Detchd",2,380,"TA","TA",0,40,0,0
972,162,32,4500,"FR2","1Story",6,5,1998,1998,"TA","TA","PConc","Ex","TA","GLQ",866,338,1204,"GasA","Ex","Y",1204,0,1204,1,0,2,0,2,"TA",5,0,"Attchd",2,412,"TA","TA",0,247,0,0
1533,188.7,74,11988,"Inside","2Story",6,7,1934,1995,"TA","TA","CBlock","TA","TA","LwQ",326,389,715,"GasA","Fa","Y",849,811,1660,0,0,1,1,3,"TA",6,1,"Detchd",1,240,"TA","TA",0,0,0,0
1027,146.9,75,9743,"Inside","2Story",5,6,1969,1969,"TA","TA","CBlock","TA","Fa","BLQ",280,440,720,"GasA","Gd","Y",720,588,1308,0,0,1,1,3,"TA",7,0,"Detchd",2,484,"TA","TA",0,0,0,0
13,180.4,63,8402,"Inside","2Story",6,5,1998,1998,"TA","TA","PConc","Gd","TA","Unf",0,789,789,"GasA","Gd","Y",789,676,1465,0,0,2,1,3,"TA",7,1,"Attchd",2,393,"TA","TA",0,75,0,0
2035,141,50,9000,"Inside","1.5Fin",6,6,1937,1950,"TA","Gd","PConc","TA","TA","Unf",0,780,780,"GasA","TA","Y",780,595,1375,0,0,1,1,3,"Gd",6,1,"Detchd",1,544,"TA","TA",0,162,0,126
2373,94.5,21,1680,"Inside","2Story",6,5,1972,1972,"TA","TA","CBlock","TA","TA","Unf",0,483,483,"GasA","TA","Y",483,504,987,0,0,1,1,2,"TA",5,1,"Attchd",1,288,"TA","TA",0,0,0,0
2605,160,60,10800,"Corner","1.5Fin",5,4,1900,1970,"TA","Fa","CBlock","TA","Fa","BLQ",664,290,954,"GasA","TA","N",1766,648,2414,0,0,2,0,3,"TA",10,1,"Attchd",2,520,"TA","Fa",142,0,0,0
448,386.25,103,13472,"Inside","1Story",10,5,2003,2003,"Ex","TA","PConc","Ex","TA","GLQ",56,2336,2392,"GasA","Ex","Y",2392,0,2392,0,0,2,0,3,"Ex",8,1,"Attchd",3,968,"TA","TA",248,105,0,0
2399,378,131,14828,"Corner","1Story",9,5,2004,2005,"Ex","TA","PConc","Ex","TA","GLQ",1383,397,1780,"GasA","Ex","Y",1780,0,1780,1,0,2,0,2,"Ex",7,1,"Attchd",3,816,"TA","TA",144,68,0,0
2095,228.5,82,11287,"Inside","2Story",7,6,1989,1989,"Gd","TA","CBlock","Gd","TA","GLQ",421,386,807,"GasA","Gd","Y",1175,807,1982,0,0,2,1,3,"Gd",7,1,"Attchd",2,575,"TA","TA",0,84,0,0
1977,89.5,56,4480,"Corner","1Story",5,5,1922,1950,"TA","TA","PConc","Fa","Fa","LwQ",782,240,1022,"GasA","TA","N",1022,0,1022,1,0,1,0,2,"Fa",4,1,"Detchd",1,184,"TA","Fa",0,122,20,0
1933,125,60,10950,"Inside","1Story",6,6,1952,1952,"TA","TA","CBlock","TA","TA","ALQ",441,507,948,"GasA","TA","Y",948,0,948,0,0,1,0,2,"TA",5,0,"Detchd",2,410,"TA","TA",0,48,0,0
2658,137,69,9142,"Inside","2Story",6,8,1910,1950,"TA","Fa","Stone","Fa","TA","Unf",0,1020,1020,"GasA","Gd","N",908,1020,1928,0,0,2,0,4,"Fa",9,0,"Detchd",1,440,"Po","Po",0,60,112,0
523,238.5,75,7500,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Gd","TA","GLQ",24,1348,1372,"GasA","Ex","Y",1448,0,1448,0,0,2,0,2,"Gd",6,1,"Attchd",2,692,"TA","TA",0,140,0,0
996,192,59,9042,"Inside","2Story",6,5,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",828,115,943,"GasA","Gd","Y",943,695,1638,1,0,2,1,3,"TA",7,2,"Attchd",2,472,"TA","TA",100,38,0,0
819,323.262,84,10933,"Inside","1Story",9,5,2009,2009,"Ex","TA","PConc","Ex","TA","GLQ",1021,534,1555,"GasA","Ex","Y",1680,0,1680,1,0,1,1,1,"Ex",8,1,"Attchd",3,1138,"TA","TA",185,24,0,0
1272,125.9,80,8000,"Inside","1Story",5,5,1962,1962,"TA","TA","CBlock","TA","TA","BLQ",520,188,1027,"GasA","TA","Y",1027,0,1027,0,1,1,0,3,"TA",6,0,"Attchd",1,299,"TA","TA",0,0,0,0
1590,206.3,78,7060,"Inside","SFoyer",7,5,1997,1998,"TA","Gd","PConc","Gd","Gd","GLQ",1309,35,1344,"GasA","Ex","Y",1344,0,1344,2,0,2,0,2,"TA",8,0,"Attchd",4,784,"TA","TA",0,0,0,0
778,165,88,15400,"Inside","SLvl",5,5,1961,1961,"TA","TA","CBlock","TA","Gd","Unf",0,552,552,"GasA","TA","Y",904,611,1774,0,0,2,0,4,"TA",8,1,"Attchd",1,384,"TA","TA",290,40,0,0
399,120.5,60,6960,"Inside","1Story",4,6,1970,1970,"TA","TA","CBlock","TA","TA","ALQ",375,250,864,"GasA","TA","Y",864,0,864,0,0,1,0,3,"Gd",5,0,"Detchd",2,660,"TA","TA",96,0,0,0
969,425,85,12633,"Inside","1Story",9,5,2007,2007,"Ex","TA","PConc","Ex","TA","GLQ",1640,338,1978,"GasA","Ex","Y",1978,0,1978,1,0,2,0,2,"Ex",7,1,"Attchd",3,920,"TA","TA",308,52,0,0
2137,160,72,9720,"Inside","SLvl",5,7,1977,1977,"TA","TA","CBlock","TA","Ex","ALQ",755,240,995,"GasA","TA","Y",1009,0,1009,0,0,2,0,3,"TA",6,1,"Detchd",2,576,"TA","TA",0,0,0,0
922,160,130,9600,"Inside","1.5Fin",5,7,1940,1950,"Gd","Gd","BrkTil","TA","Fa","Rec",428,300,728,"GasA","Ex","Y",976,332,1308,1,0,1,1,2,"TA",7,2,"Detchd",1,256,"TA","TA",0,70,0,0
509,257.5,78,10206,"Inside","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","Unf",0,1614,1614,"GasA","Ex","Y",1658,0,1658,0,0,2,1,3,"Gd",7,1,"Attchd",3,726,"TA","TA",144,44,0,0
2388,309,108,13418,"Inside","2Story",8,5,2004,2005,"Gd","TA","PConc","Ex","TA","Unf",0,1117,1117,"GasA","Ex","Y",1132,1320,2452,0,0,3,1,4,"Gd",9,1,"BuiltIn",3,691,"TA","TA",113,32,0,0
2685,113,58,6380,"Inside","1.5Unf",5,6,1922,1950,"TA","TA","BrkTil","TA","Fa","Unf",0,993,993,"GasA","TA","Y",1048,0,1048,0,0,1,0,2,"TA",5,1,"Detchd",1,280,"TA","TA",0,0,116,0
1083,191,43,3182,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","Gd","GLQ",16,1330,1346,"GasA","Ex","Y",1504,0,1504,0,0,2,0,2,"Gd",7,1,"Attchd",2,437,"TA","TA",156,20,0,0
1174,170,24,2160,"Inside","SLvl",7,5,1999,2000,"Gd","TA","PConc","Gd","TA","GLQ",600,72,672,"GasA","Ex","Y",684,720,1404,1,0,2,1,3,"Gd",5,0,"Detchd",2,462,"TA","TA",20,0,0,0
207,55,70,5600,"Inside","2Story",4,5,1930,1950,"Fa","Fa","Slab","None","None","None",0,0,0,"GasA","Fa","N",372,720,1092,0,0,2,0,3,"Fa",7,0,"None",0,0,"None","None",0,0,0,0
245,178,77,9206,"Inside","2Story",6,5,1985,1985,"Gd","TA","CBlock","Gd","TA","Unf",0,741,741,"GasA","TA","Y",977,755,1732,0,0,2,1,3,"Gd",7,1,"Attchd",2,476,"TA","TA",192,46,0,0
